,movie_name,year,num_characters,num_connections,num_connected_components,num_main_characters,max_degree_node_value,max_degree_node,network_strength,max_weight_edge_value,max_weight_edge_source,max_weight_edge_target
21,Life of the Party,2018,23,119,1,7,22,Deanna Miles,2066,177,Deanna Miles,Dan Miles
22,Chocolat,2000,25,113,1,5,22,Vianne Rocher,2474,221,Vianne Rocher,Anouk Rocher
23,Cold in July,2014,9,10,1,0,4,Freddy,45,9,Richard Dane,Ann Dane
24,The Art of Getting By,2011,10,17,1,2,9,George Zinavoy,163,29,George Zinavoy,Sally Howe
25,Frivolous Lola,1998,4,4,1,3,3,Lola,32,15,Zaira,Lola
26,We're the Millers,2013,21,88,1,7,18,David Clark,3239,348,David Clark,Rose O'Reilly
27,Altar,2014,8,17,1,3,7,Penny Hamilton,106,25,Penny Hamilton,Harper Hamilton
28,Peelers,2016,13,36,1,4,10,Jesus,234,18,Tony,Blue Jean
29,We Go On,2016,6,7,1,1,5,Nelson,56,15,Miles,Kieran
30,A Price Above Rubies,1998,16,43,1,2,13,Sender Horowitz,626,85,Sender Horowitz,Sonia Horowitz
31,The Lake House,2006,8,17,1,2,7,Kate Forster,173,41,Kate Forster,Alex Wyler
32,The Thief Lord,2006,14,62,1,11,12,Victor,885,50,Max Hartlieb,Esther Hartlieb
33,Coffin 2,2017,20,52,1,2,15,Epperson,716,63,Epperson,Trick
34,Hostage,2005,19,80,1,7,15,Dennis Kelly,1461,131,Tommy Smith,Dennis Kelly
35,Rango,2011,8,7,2,0,4,Rango,42,17,Rango,Rattlesnake Jake
36,2001 Maniacs,2005,11,20,1,2,9,Kat,96,9,Granny Boone,Kat
37,Børning,2014,5,5,1,2,3,Nina,32,12,Nina,Roy
38,Death Hunt,1981,8,15,1,3,7,"Sgt. Edgar Millen, RCMP",151,32,"Sgt. Edgar Millen, RCMP",Albert Johnson
39,633 Squadron,1964,9,18,1,5,7,Wing Commander Roy Grant,174,34,Lieutenant Erik Bergman,Wing Commander Roy Grant
40,Just Bea,2004,9,13,1,2,7,Beatrice 'Bea' Løvås,129,24,Anders,Beatrice 'Bea' Løvås
41,The Importance of Being Earnest,2002,8,17,1,4,7,John Worthing („Jack“),564,149,John Worthing („Jack“),Cecily
42,The Remains,2016,9,14,1,1,5,Irwin,174,61,Aiden,Victoria
43,Quintet,1979,7,17,1,6,6,Saint Christopher,161,30,Deuca,Redstone
44,Owning Mahowny,2003,13,22,1,1,12,Dan Mahowny,235,49,Dan Mahowny,Frank Perlin
45,Fargo,1996,20,65,1,1,16,Jerry Lundegaard,943,94,Jerry Lundegaard,Wade Gustafson
46,Winter Sleep,2014,11,47,1,10,10,Aydin,818,103,Aydin,Nihal
47,Carry on Cowboy,1965,14,29,1,2,12,Marshal P. Knutt,480,112,the Rumpo Kid Johnny Finger,Marshal P. Knutt
48,Wichita,1955,12,34,1,5,9,Wyatt Earp,223,17,Laurie McCoy,Wyatt Earp
49,My Father's Glory,1990,8,18,1,6,7,Oncle Jules,191,24,Oncle Jules,Tante Rose
50,Bonnie and Clyde,1967,8,20,1,4,7,Buck Barrow,539,167,Bonnie Parker,Clyde Barrow
51,The Hangover Part III,2013,19,56,1,3,18,Alan,3954,554,Alan,Phil
52,Stay Alive,2006,11,17,1,3,7,Loomis Crowley,198,28,Swink,Hutch
53,Suspicion,1941,10,25,1,3,9,John D. 'Johnnie' Aysgarth,641,147,Gordon Cochrane 'Beaky' Thwaite,John D. 'Johnnie' Aysgarth
54,When Did You Last See Your Father?,2007,9,10,1,0,4,Arthur  Morrison,52,11,Beaty,Josie
55,House of Strangers,1949,10,28,1,5,8,Max Monetti,1026,183,Joe Monetti,Max Monetti
56,Ricochet,1991,18,64,1,3,16,Earl Talbott Blake,1199,149,Nick Styles,Earl Talbott Blake
57,Dracula: Prince of Darkness,1966,9,19,1,4,7,Charles Kent,177,31,Charles Kent,Diana Kent
58,Island of Fire,1990,5,4,1,1,3,Andy Lau,20,6,Andy Lau,Charlie
59,At the End of the Tunnel,2016,6,9,1,4,4,Berta,57,11,Betty,Berta
60,The Chinese Connection,1972,5,5,1,2,3,Interpreter Wu,56,26,Chen Zhen,Interpreter Wu
61,Journey to the Center of the Earth,1959,6,15,1,6,5,Alexander 'Alec' McKuen,486,126,Alexander 'Alec' McKuen,Sir Oliver S. Lindenbrook
62,Nemesis Game,2003,9,12,1,1,8,Sara Novak,116,25,Jeremy Curran,Sara Novak
63,The Temp,1993,17,48,1,2,15,Peter Derns,558,80,Peter Derns,Kris Bolin
64,Force Majeure,2014,9,29,1,8,8,Harry,1951,359,Ebba,Tomas
65,Hamlet 2,2008,15,22,1,1,13,Dana Marschz,172,21,Dana Marschz,Rand Posin
66,"Bleach: Fade to Black, I Call Your Name",2008,21,37,1,1,19,Rukia Kuchiki,380,53,Rukia Kuchiki,Ichigo Kurosaki
67,I Dreamed of Africa,2000,7,9,1,1,5,Emanuele Gallmann - Age 17,41,10,Kuki Gallmann,Emanuele Gallmann - Age 17
68,My All-American,2015,25,89,1,4,23,Freddie Steinmark,1501,186,Joe,Freddie Steinmark
69,Swept from the Sea,1997,8,21,1,6,7,Amy Foster,229,41,Amy Foster,Yanko Gooral
70,Manglehorn,2014,7,9,1,1,5,Gary,54,12,Gary,Jasmine
71,September,1987,8,15,1,2,7,Lane,222,68,Peter,Lane
72,Grave Encounters,2011,9,13,1,1,7,Matt White,200,78,Matt White,Lance Preston
73,The Last Detail,1973,3,2,1,1,2,Seaman Larry Meadows,10,6,Seaman Larry Meadows,Donna
74,Three Men and a Cradle,1985,8,14,1,3,6,Jacques,115,32,Jacques,Marie N° 2
75,Joshua,2007,11,37,1,8,10,Abby Cairn,1006,221,Abby Cairn,Brad Cairn
76,Edward Scissorhands,1990,10,26,1,5,8,Edward Scissorhands,321,61,Edward Scissorhands,Kevin
77,Somos Tão Jovens,2013,11,13,1,1,10,Dr. Renato,79,19,Dr. Renato,Ana Cláudia
78,Asterix and Obelix vs Caesar,1999,10,23,1,4,8,Caesar,616,172,Caesar,Obelix
79,Lust for Love,2014,3,2,1,1,2,Astor,11,8,Jake,Astor
80,Please Don't Eat the Daisies,1960,15,68,1,8,14,David Mackay,1041,72,David Mackay,"Lawrence ""Larry"" Mackay"
81,Mockingbird Don't Sing,2001,18,35,1,1,17,Katie,721,108,Katie,Wes Standon
82,Miss Stevens,2016,7,15,1,5,6,Billy Mitman,881,292,Billy Mitman,Rachel Stevens
83,Chattahoochee,1989,7,11,1,2,6,Emmett Foley,83,19,Emmett Foley,Walker Benson
84,F*&% the Prom,2017,12,21,1,2,9,Maddy Datner,254,59,Maddy Datner,Kane
85,Bloodrunners,2017,14,21,1,1,8,Jack Malone,184,30,Jack Malone,Sam
86,The Name of the Rose,1986,18,65,1,4,16,William von Baskerville,1008,185,William von Baskerville,Adso von Melk
87,The Last Voyage,1960,4,5,1,4,3,Laurie Henderson,42,19,Laurie Henderson,Jill Henderson
88,She's Having a Baby,1988,8,12,1,2,7,Jefferson 'Jake' Edward Briggs,139,53,Kristen 'Kristy' Briggs,Jefferson 'Jake' Edward Briggs
89,"Olivier, Olivier",1992,7,11,1,2,6,Olivier,69,12,Nadine,Marcel
90,Storm Warning,2007,3,3,1,3,2,Honky - Dog,11,5,Honky - Dog,Brett
91,Zero Dark Thirty,2012,20,37,1,2,13,Osama Bin Laden,410,70,Abu Ahmed,Osama Bin Laden
92,Hallam Foe,2007,6,10,1,4,4,Hallam Foe,81,20,Hallam Foe,Kate
93,Norwegian Wood,2010,6,6,1,1,4,Toru Watanabe,30,10,Toru Watanabe,Nagasawa
94,A War,2015,12,29,1,1,10,Claus Michael Pedersen,380,55,Claus Michael Pedersen,Lutfi 'Lasse' Hassan
95,Welcome to the Dollhouse,1995,15,30,1,2,11,Dawn Wiener,334,61,Missy Wiener,Dawn Wiener
96,Air America,1990,12,33,1,6,9,Gene Ryack,361,48,Gene Ryack,Billy Covington
97,The Master of Disguise,2002,13,19,1,1,10,Devlin Bowman,94,12,Devlin Bowman,Jennifer Baker
98,Edge of Sanity,1989,12,23,1,1,11,Dr. Henry Jekyll / Jack 'The Ripper' Hyde,180,21,Johnny,Susannah
99,Timecop,1994,8,13,1,2,6,McComb Guard #1,85,17,McComb Guard #1,Max Walker
100,House Arrest,1996,17,57,1,3,14,Gregory Alan 'Grover' Beindorf,478,35,Matt Finley,Janet Beindorf
101,The Incident,2014,6,6,1,2,4,Daniel,58,33,Daniel,Roberto
102,Dallas,1950,9,34,1,9,8,Blayde 'Reb' Hollister,951,94,Blayde 'Reb' Hollister,U.S. Marshal Martin Weatherby
103,Oscar and Lucinda,1997,15,29,2,2,9,Oscar Hopkins,157,18,Lucinda Leplastrier,Oscar Hopkins
104,Save the Green Planet!,2003,4,4,1,3,3,Detective Jang,17,6,Kang Man-shik,Squad Leader Lee
105,Ladybird Ladybird,1994,10,26,1,4,9,"Maggie, Aged 5",635,164,"Maggie, Aged 5",Jorge
106,Sweet November,2001,14,32,1,2,12,Nelson Moss,373,80,Sara Deever,Nelson Moss
107,Varg Veum - Skriften på veggen,2010,6,5,1,1,3,Sidsel,33,9,Torill - Eva Beate,Karin Bjørge
108,The French Kissers,2009,4,4,1,3,3,Camel,26,9,Camel,Laura
109,Girls Gone Dead,2012,20,52,2,1,15,Missy Pratt,305,24,Missy Pratt,Kelly Morris
110,Kickboxer,1989,9,17,1,4,7,Eric Sloane,150,22,Eric Sloane,Fighter vs. Kurt
111,Girl Crazy,1943,11,26,1,3,10,Ginger Gray,324,49,"Mr. Danny Churchill, Sr.","Danny Churchill, Jr."
112,Beyond the Valley of the Dolls,1970,17,71,1,8,14,Susan Lake,990,73,Harris Allsworth,Kelly Mac Namara
113,Lost in Paris,2016,7,12,1,5,6,Martha,175,66,Fiona,Martha
114,The Murderer Lives at Number 21,1942,5,6,1,1,4,"Mlle Cuq, la romancière, vivant dans la pension",33,14,"Vania, l'infirmière de Kid Robert",Kid Robert
115,State Fair,1945,12,27,1,2,9,Wayne Frake,251,30,Wayne Frake,Emily Edwards
116,Morituri,1965,10,16,1,2,7,Kruse,127,44,Kruse,Captain Mueller
117,Man About Town,2006,17,52,1,3,14,Jack Giamoro,1409,245,Jack Giamoro,Phil Balow
118,Wide Sargasso Sea,1993,14,20,1,1,9,Antoinette Cosway,117,13,Antoinette Cosway,Edward Rochester
119,Things to Do in Denver When You're Dead,1995,26,71,1,1,23,Jimmy 'The Saint' Tosnia,956,90,The Man with the Plan,Jimmy 'The Saint' Tosnia
120,Chasing Amy,1997,7,10,1,3,4,Alyssa Jones,191,63,Alyssa Jones,Banky Edwards
121,Pleasantville,1998,29,133,1,5,26,Bud Parker,1350,67,Bud Parker,Mary Sue Parker
122,Gator,1976,15,27,1,2,10,Bama McCall,274,40,Irving Greenfield,Bama McCall
123,The Son of No One,2011,12,23,1,2,9,Jonathan 'Milk' White (Young),147,32,Jonathan 'Milk' White (Young),Charolette 'Charlie' White
124,FX,1986,15,45,1,5,12,Roland 'Rollie' Tyler,606,66,Roland 'Rollie' Tyler,Col. Mason
125,Good Neighbor Sam,1964,14,39,1,4,13,Sam Bissell,1806,356,Sam Bissell,Simon Nurdlinger
126,Start the Revolution Without Me,1970,11,32,1,6,9,Claude / Philippe,388,52,Claude / Philippe,Mimi
127,Glory,1989,10,14,1,1,8,Francis George Shaw,113,23,Col. Robert Gould Shaw,Cpl. Thomas Searles
128,Pootie Tang,2001,11,23,1,3,9,Pootie Tang,1049,561,Pootie Tang,JB / Radio DJ / Pootie's Father
129,Good Morning Babylon,1987,6,11,1,5,5,Mrs. Griffith,111,19,Edna Bonnano,Mabel Bonnano
130,The Mummy: Tomb of the Dragon Emperor,2008,17,52,1,3,14,Alex O'Connell,381,39,Alex O'Connell,Jonathan Carnahan
131,"Life, Above All",2010,11,22,1,5,7,Iris,142,14,Chanda,Esther
132,The Return of a Man Called Horse,1976,5,3,2,0,2,Raven,12,5,Raven,John Morgan / Horse
133,Kanal,1957,5,5,1,1,4,Lt. 'Zadra',21,8,"podchorąży Jacek ""Korab"", dowódca plutonu",Lt. 'Zadra'
134,They,2002,7,12,1,3,6,Young Billy,125,26,Young Billy,Sam Burnside
135,1612: Khroniki smutnogo vremeni,2007,3,2,1,1,2,Andrei,14,9,Andrei,Kseniya Godunova
136,Hardball,2001,19,56,1,2,14,Jimmy Fleming,406,29,Andre Ray Peetes,Kofi Evans
137,Hell Is for Heroes,1962,9,21,1,4,6,Sgt. Larkin,130,17,Sgt. Larkin,Sgt. Pike
138,Bleeding Steel,2017,8,16,1,2,6,Lin Dong,184,27,Nancy,Andre
139,Return of the Ghostbusters,2007,8,14,1,4,5,Ed Spengler,247,55,Ed Spengler,Pavel Karnov
140,Ben X,2007,5,5,1,1,4,Ben,85,27,Scarlite,Ben
141,Cake,2014,9,13,1,2,7,Silvana,106,21,Nina Collins,Claire Bennett
142,The Horn Blows at Midnight,1945,11,26,1,4,8,Athanael,305,78,Athanael,Elizabeth
143,Take Me Out to the Ball Game,1949,8,21,1,5,7,Dennis Ryan,248,39,Eddie O'Brien,K.C. Higgins
144,Radiostars,2012,8,14,1,2,6,Ben,115,16,Ben,Cyril
145,The Sea Chase,1955,13,31,1,2,11,Captain Karl Ehrlich,251,36,Captain Karl Ehrlich,Elsa Keller
146,The Bourne Ultimatum,2007,15,61,1,6,14,Jason Bourne,2854,359,Jason Bourne,Noah Vosen
147,Already Tomorrow in Hong Kong,2015,4,6,1,4,3,Josh,47,11,Josh,Sam
148,Rush Hour 3,2007,11,23,1,3,10,Chief Insp. Lee,431,106,Chief Insp. Lee,Det. James Carter
149,Red Dust,1932,6,11,1,5,5,Dennis Carson,164,67,Dennis Carson,Gary Willis
150,The Emoji Movie,2017,16,44,1,3,15,Gene,813,130,Gene,Mary Meh
151,Searching for Bobby Fischer,1993,13,21,1,1,9,Josh Waitzkin,194,31,Josh Waitzkin,Bobby Fischer
152,The 'Burbs,1989,14,53,1,7,13,Ray Peterson,1110,109,Ray Peterson,Walter Seznick
153,The Bishop's Wife,1947,18,74,1,5,16,Bishop Henry Brougham,1880,209,Bishop Henry Brougham,Julia Brougham
154,Barking at the Stars,1998,6,6,1,2,4,Danica Jankovic,32,10,Mihailo Knezevic - Filozof,Danica Jankovic
155,No Way Back,1995,8,18,1,4,7,Eric Grant,211,42,Yuji Kobayashi,FBI Agent Zack Grant
156,Carry On Sergeant,1958,12,40,1,8,9,Peter Golightly,303,21,Charlie Sage,Horace Strong
157,An Unfinished Life,2005,11,32,1,6,9,Einar Gilkyson,310,36,Einar Gilkyson,Mitch Bradley
158,Orange County,2002,21,47,1,1,16,Shaun Brumder,438,49,Shaun Brumder,Bob Beugler
159,40,2009,4,2,2,0,1,Metin,7,4,Sevda,Ali
160,The Hot Spot,1990,9,17,1,3,7,Harry Madox,304,66,Harry Madox,Gloria Harper
161,Neon Genesis Evangelion: Death & Rebirth,1997,12,28,1,2,10,Shinji Ikari,298,38,Shinji Ikari,Rei Ayanami
162,Wing and a Prayer,1944,8,9,1,1,6,Ens. Hallam 'Oscar' Scott,51,13,Ens. Hallam 'Oscar' Scott,Ens. Gus Chisholm
163,The Bridges of Madison County,1995,9,23,1,6,8,Francesca Johnson,423,105,Francesca Johnson,Robert Kincaid
164,Johnny Got His Gun,1971,9,12,1,1,8,Joe Bonham,147,71,Joe Bonham,Kareen
165,Twin Peaks: Fire Walk with Me,1992,30,88,1,1,19,Laura Palmer,728,46,Bobby Briggs,Mike Nelson
166,Dance with Me,1998,10,26,1,7,8,Ruby Sinclair,165,15,Rafael Infante,Ruby Sinclair
167,Gremlins 2: The New Batch,1990,21,48,1,2,13,Clamp Center Security Guard,341,36,Billy Peltzer,Marla Bloodstone
168,Blind Dating,2006,15,51,1,5,14,Danny,1112,179,Danny,Larry
169,Lilies of the Field,1963,7,9,1,1,5,Homer Smith,30,4,Sister Albertine,Sister Elizabeth
170,Good Deeds,2012,13,42,1,3,11,Wesley Deeds,523,75,Wesley Deeds,Lindsey Wakefield
171,Heli,2013,3,2,1,1,2,Heli,6,3,Detective Maribel,Heli
172,The Ferryman,2007,5,9,1,5,4,Big Dave,91,18,Kathy,Zane
173,Death Race 2000,1975,14,35,1,2,12,Frankenstein,538,143,Frankenstein,Machine Gun Joe Viterbo
174,Get Hard,2015,18,48,1,2,17,James,1325,350,Darnell Lewis,James
175,Führer Ex,2002,8,9,1,1,5,Heiko Degener,48,14,Tommy Zierer,Heiko Degener
176,The Wackiest Ship in the Army,1960,9,14,1,2,6,Lt. Rip Crandall,140,39,Lt. Rip Crandall,Lt. Dennis M. Foster
177,Susana,1951,4,6,1,4,3,Felisa,64,18,Felisa,Susana
178,Cloudy with a Chance of Meatballs 2,2013,14,57,1,11,12,Chester V,1583,218,Chester V,Flint Lockwood
179,Destroyed in Love,2006,16,29,1,2,13,Rehan,368,117,Rehan,Zooni Ali Beg
180,The Preppie Connection,2015,11,16,1,1,8,Ellis Tynes,92,13,Ellis Tynes,Ben
181,The Statement,2003,16,25,1,1,15,Pierre Brossard,234,35,Pierre Brossard,Annemarie Livi
182,Fellini's Casanova,1976,4,4,1,3,3,Giacomo Casanova,33,15,Isabella,Giacomo Casanova
183,Count Dracula,1970,7,15,1,5,6,Dr. Van Helsing,106,14,Jonathan Harker,Mina Harker
184,Watermelon Man,1970,14,22,1,1,11,Jeff Gerber,286,88,Jeff Gerber,Althea Gerber
185,Ganes,2007,7,8,1,1,4,Henry 'Remu' Aaltonen,37,7,Henry 'Remu' Aaltonen,Hurme
186,Bob Roberts,1992,29,91,1,2,28,Bob Roberts,1583,188,Bob Roberts,Lukas Hart III
187,Whip It,2009,21,88,1,6,17,Bliss Cavendar,916,51,'Hot Tub' Johnny Rocket,Smashley Simpson
188,The Big Feast,1973,6,10,1,4,5,Philippe,96,17,Philippe,Ugo
189,The Man from the Future,2011,5,6,1,2,4,Helena,51,25,Helena,Ricardo
190,Naam Hai Akira,2016,12,31,1,3,11,Akira,371,67,Rajeshwar,Akira
191,Nightbreed,1990,14,18,1,1,11,Aaron Boone,155,47,Aaron Boone,Dr. Philip K. Decker
192,All I Desire,1953,9,34,1,9,8,Ted Murdoch,1718,128,Lily Murdoch,Joyce Murdoch
193,Maya the Bee Movie,2014,9,12,1,2,7,Willi,276,174,Maya,Willi
194,Trance,2013,5,7,1,2,4,Simon,106,45,Simon,Franck
195,Family: Ties of Blood,2006,8,7,1,1,7,Virendra 'Viren' Sahi,67,15,Virendra 'Viren' Sahi,Abhir V. Sahi
196,Indiscretion of an American Wife,1953,3,3,1,3,2,Giovanni Doria,46,29,Mary Forbes,Paul Stevens
197,Trouble the Water,2008,11,23,1,2,10,Kimberly Rivers Roberts,727,222,Kimberly Rivers Roberts,Scott Roberts
198,A Family Man,2016,15,44,1,4,11,Dane Jensen,627,85,Dane Jensen,Lou Wheeler
199,Novocaine,2001,12,18,1,1,8,Harlan Sangster,136,27,Frank Sangster,Harlan Sangster
200,Red Dog,2011,10,18,1,2,9,Red Dog,189,30,Red Dog,Sam-Man
201,Vidocq,2001,8,9,1,1,6,Vidocq,97,24,Vidocq,Etienne Boisset
202,An American Tail: Fievel Goes West,1991,9,18,1,2,8,Fievel Mousekewitz,165,28,Fievel Mousekewitz,Tiger
203,Kim,1950,7,10,1,2,6,Mahbub Ali - The Red Beard,141,38,Mahbub Ali - The Red Beard,Colonel Creighton
204,Mascots,2016,28,95,1,1,18,'Does This Smell Normal' Man,792,78,Mindy Murray,Mike Murray
205,Fathom,1967,9,26,1,7,7,Serapkin,517,82,"Col. Douglas Campbell, Chief of HADES",Peter Merriwether
206,Dawson City: Frozen Time,2016,5,4,2,0,2,Kathy Jones-Gates,21,11,Kathy Jones-Gates,Michael Gates
207,Me and Morrison,2001,4,4,1,3,3,Joonas,40,17,Joonas,Akin entinen vaimo Sini
208,Milk Money,1994,10,14,1,2,6,Frank Wheeler,135,18,Tom Wheeler,Frank Wheeler
209,Sounder,1972,11,40,1,9,10,David Lee Morgan,754,80,David Lee Morgan,Nathan Lee Morgan
210,What the #$*! Do We (K)now!?,2004,3,2,1,1,2,Various Character Voices,6,3,Miceal Ledwith,Various Character Voices
211,Sleepover,2004,11,17,1,2,8,Julie Corky,98,20,Julie Corky,Steve Phillips
212,The Whole Nine Yards,2000,12,42,1,8,11,"Jimmy ""Tulipán"" Tudeski",843,164,"Jimmy ""Tulipán"" Tudeski",Janni Pytor Gogolak
213,Trigun: Badlands Rumble,2010,6,7,1,2,5,Gasback,57,25,Gasback,Vash The Stampede
214,Occident,2002,8,15,1,3,7,Luci,104,17,Luci,Mihaela
215,Breaker Morant,1980,20,81,1,5,19,Lt. Peter Handcock,1176,106,Lt. Harry Harbord 'Breaker' Morant,Lt. Peter Handcock
216,A Man Apart,2003,7,8,1,1,6,Sean Vetter,67,19,Sean Vetter,Stacy Vetter
217,A Serious Man,2009,22,88,1,4,19,Larry Gopnik,1450,139,Larry Gopnik,Uncle Arthur
218,Foxes,1980,19,37,1,2,15,Annie,311,66,Annie,Jeanie
219,Body Heat,1981,17,60,1,5,16,Ned Racine,1251,176,Ned Racine,Edmund Walker
220,Spellbound,1945,12,27,1,2,10,Dr. Constance Petersen,234,26,Dr. Constance Petersen,Dr. Murchison
221,Hate Story,2012,5,6,1,2,4,Siddharth Dhanrajgir,74,20,Siddharth Dhanrajgir,Kaavya Krishna
222,The List,2007,19,62,1,4,17,Jo Johnston,499,40,Renny Jacobsen,Jo Johnston
223,The Newton Boys,1998,28,98,1,2,25,Willis Newton,1479,199,Joe Newton,Willis Newton
224,Conan the Barbarian,1982,6,5,1,1,3,The Wizard / Narrator,23,6,The Wizard / Narrator,Conan
225,Professor Marston and the Wonder Women,2017,14,40,1,4,12,Olive Byrne,643,101,Dr. William Moulton Marston,Elizabeth Marston
226,The Spy Who Came in from the Cold,1965,10,28,1,6,9,Alec Leamas,814,215,Alec Leamas,Hans-Dieter Mundt
227,Mulligans,2008,12,23,1,2,11,Chase Rousseau,350,98,Chase Rousseau,Tyler Davidson
228,Boy 7,2015,7,7,1,1,6,Sam,43,10,Louis,Sam
229,Wrong Turn 4: Bloody Beginnings,2011,8,27,1,8,7,Daniel,685,51,Daniel,Kyle
230,Other People's Money,1991,18,44,1,2,16,Garfield Employee,374,56,Garfield Employee,Kate Sullivan
231,Hard Times,1975,7,15,1,6,6,Spencer 'Speed' Weed,124,17,Chaney,Spencer 'Speed' Weed
232,Call Me Lucky,2015,13,13,1,1,12,Barry Crimmins,160,41,Barry Crimmins,Billy Bragg
233,The Ones Below,2015,11,25,1,3,9,Justin,684,107,Kate,Justin
234,Ned Kelly,2003,26,69,1,1,24,Ned Kelly,487,29,Ned Kelly,Aaron Sherritt
235,48 Hrs,1982,15,55,1,4,14,Jack Cates,948,149,Jack Cates,Albert Ganz
236,Precious,2009,14,26,1,1,10,Ms. Rain,221,31,Joann,Rhonda
237,The New World,2005,15,41,1,3,13,Captain Smith,562,67,Captain Smith,Pocahontas
238,The War Room,1993,29,93,1,3,22,James Carville,1640,132,Chelsea Clinton,George Bush
239,New Kids Nitro,2011,12,18,2,1,7,D'n Dave,90,15,D'n Dave,Man from Schijndel - 1
240,Yi Yi,2000,3,2,1,1,2,Big Boss Huang,16,13,Big Boss Huang,Mr. Ota
241,Tarzan and the Huntress,1947,6,7,1,2,4,Tarzan,55,24,Jane,Tarzan
242,Deep Dark,2015,6,5,1,1,4,Hermann Haig,18,5,Uncle Felix,Hermann Haig
243,Everything About Mustafa,2004,5,6,1,2,4,Mustafa,60,23,Ceren,Mustafa
244,Casino Royale,2006,9,14,1,2,8,James Bond,110,33,Le Chiffre,James Bond
245,Romero,1989,6,5,2,1,3,Archbishop Oscar Romero,35,17,Archbishop Oscar Romero,Father Rutilio Grande
246,Fields of the Dead,2014,9,18,1,6,7,Josh,147,17,Cheryl,Trent
247,Fear and Loathing in Las Vegas,1998,16,38,1,1,14,Raoul Duke,533,76,Dr. Gonzo,Raoul Duke
248,Friends with Kids,2011,10,19,1,2,6,Julie Keller,140,16,Alex,Ben
249,What We Do in the Shadows,2014,12,22,1,1,10,Stu,330,64,Nick,Stu
250,Anon,2018,7,7,1,1,5,Sal Frieland,49,16,Sal Frieland,James Cray
251,Gloria,1980,13,33,1,3,10,Man in Newark Station,458,85,Gloria Swenson,Man in Newark Station
252,Gambit,2012,13,36,1,4,11,PJ Puznowski,918,183,Harry Deane,PJ Puznowski
253,The Sword in the Stone,1963,6,6,1,2,4,Merlin,83,46,Merlin,Sir Kay
254,Admission,2013,21,62,1,3,18,Portia Nathan,656,76,Portia Nathan,Jeremiah - 8 Years Old
255,Slash,2002,11,16,1,0,5,Carl,86,10,Ray,Karen
256,Charlie Chan in London,1934,14,48,1,7,12,Inspector Charlie Chan,613,67,Inspector Charlie Chan,Pamela Gray
257,The Corridor,2010,6,6,1,1,4,Tyler Crawley,39,15,Tyler Crawley,Pauline Crawley
258,Naked in New York,1993,12,16,1,0,6,Joanne White,72,9,Joanne White,Chris
259,The Lincoln Lawyer,2011,28,139,1,5,24,Louis Roulet,1900,151,Louis Roulet,Frank Levin
260,Hell of the Living Dead,1980,7,10,1,2,5,Man on TV,122,34,Man on TV,Lt. Mike London
261,Taxi to the Dark Side,2007,55,373,1,2,39,Chairman of the Joint Chiefs of Staff Himself - General,4980,236,Herself - New York Times Reporter,Tim Russert
262,Chatroom,2010,14,39,1,3,13,Jim,473,61,Jim,William
