,Title,Budget,Revenue,Rating
208,Sounder,,,7.5
209,What We Do in the Shadows (TV Series 201,,,8.6
210,Sleepover,"$10,000,000 (estimated)","$10,143,022",5.3
211,The Whole Nine Yards,"$41,300,000 (estimated)","$106,371,651",6.7
212,Trigun: Badlands Rumble,,"$193,458",7.4
213,Occident,"$450,000 (estimated)",$533,7.5
214,Breaker Morant,"A$800,000 (estimated)",$948,7.8
215,A Man Apart,"$36,000,000 (estimated)","$44,350,926",6.0
216,A Serious Man,"$7,000,000 (estimated)","$31,431,652",7.0
217,Fantastic Mr. Fox,"$40,000,000 (estimated)","$58,091,759",7.9
218,Body Heat,"$9,000,000 (estimated)","$24,058,838",7.4
219,Spellbound,"$1,696,377 (estimated)","$19,000",7.5
220,Hate Story IV,,"$78,134",3.4
221,The Terminal List (TV Series ,,,7.9
222,The Newton Boys,"$27,000,000 (estimated)","$10,452,012",6.1
223,Conan the Barbarian,"$20,000,000 (estimated)","$68,851,475",6.9
224,Professor Marston & the Wonder Women,,"$1,899,615",7.0
225,The Spy Who Came in from the Cold,,$342,7.5
226,Mulligan (TV Series ,,,4.9
227,The Boys: VNN (Seven on 7) (TV Mini Series 202,,,7.1
228,Wrong Turn 4: Bloody Beginnings (Vide,"$3,000,000 (estimated)",,4.5
229,Other People's Money,,"$25,682,090",6.2
230,Hard Times,"$2,700,000 (estimated)",,7.2
231,Call Me Lucky,,,7.5
232,The Ones Below,,"$121,827",6.1
233,Ned Kelly,,"$6,585,516",6.4
234,48 Hrs.,"$12,000,000 (estimated)","$78,868,669",6.9
235,Precious,"$10,000,000 (estimated)","$63,649,529",7.3
236,The New World,"$30,000,000 (estimated)","$49,334,775",6.7
237,9/11: Inside the President's War Room,,,7.5
238,New Kids Nitro,"€2,500,000 (estimated)","$9,428,100",5.9
239,Yi Yi,,"$1,196,218",8.1
240,Tarzan and the Huntress,,,6.0
241,"Lovely, Dark, and Deep",,,4.8
242,Mustafa Hakkinda Hersey,,"$261,085",7.5
243,Casino Royale,"$150,000,000 (estimated)","$616,505,162",8.0
244,George A. Romero's Reside,,,
245,Fields of the Dead,,,2.6
246,Fear and Loathing in Las Vegas,"$18,500,000 (estimated)","$10,680,275",7.5
247,Friends with Kids,"$10,000,000 (estimated)","$13,041,254",6.1
248,What We Do in the Shadows (TV Series 201,,,8.6
249,Anon,"$20,000,000 (estimated)","$1,197,741",6.1
250,Pain and Glory,,"$37,359,689",7.5
251,The Queen's Gambit (TV Mini Serie,,,8.5
252,The Sword in the Stone,"$3,000,000 (estimated)","$12,000,000",7.1
253,Admission,"$13,000,000 (estimated)","$18,637,201",5.7
254,Slash/Back,,,5.7
255,Charlie Chan in London,"$100,000 (estimated)",,6.9
256,The Visitors II: The Corridors of Time,"FRF 140,000,000 (estimated)","$146,072",6.1
257,Naked in New York,"$5,000,000 (estimated)","$1,038,959",5.5
258,The Lincoln Lawyer (TV Series ,,,7.7
259,Hell of the Living Dead,,,4.9
260,Taxi to the Dark Side,"$1,000,000 (estimated)","$294,309",7.5
261,Chatroom,,"$683,912",5.4
262,Ghost Ship,"$20,000,000 (estimated)","$68,349,884",5.6
263,Last Orders,"$12,000,000 (estimated)","$6,873,892",6.9
264,A Dirty Shame,"$15,000,000 (estimated)","$1,914,166",5.1
265,Ice Soldiers,,,4.4
266,Eternal Sunshine of the Spotless Mind,"$20,000,000 (estimated)","$73,390,334",8.3
267,I Am Sam,"$22,000,000 (estimated)","$97,818,302",7.6
268,The Frankenstein Theory,,,4.3
269,Kill Command,,"$25,427",5.7
270,That Touch of Mink,,,6.6
271,4:44 Last Day on Earth,,"$70,851",4.6
272,Charisma,,,6.8
273,Amelia's Children,,"$1,015,828",5.3
274,Kingsman: The Secret Service,"$81,000,000 (estimated)","$414,351,546",7.7
275,Saratoga Trunk,"$1,750,000 (estimated)",,6.3
276,Little Buddha,"$35,000,000 (estimated)","$4,858,139",6.1
277,Ma vie en rose,,"$2,162,043",7.5
278,Mona Lisa Smile,"$65,000,000 (estimated)","$141,337,989",6.5
279,Kelly's Heroes,"$4,000,000 (estimated)","$5,200,000",7.6
280,Water and Fire,,"$5,919,180",6.1
281,Ring 2,"$6,000,000 (estimated)","$65,586",5.9
282,Marvin's Room,"$23,000,000 (estimated)","$12,803,305",6.7
283,What's New Pussycat,,,6.1
284,The Grey Fox,"CA$4,500,000 (estimated)","$5,516,140",7.3
285,White Dog,"$8,000,000 (estimated)","$46,509",7.0
286,The Baby Pact,,,6.0
287,Soccer Mom Madam (TV Movi,,,5.5
288,Supergirl (TV Series 201,,,6.2
289,To Hell and Back,,,7.1
290,Torrente 3: El protector,"€8,000,000 (estimated)","$21,779,366",5.6
291,The Mummy,"$80,000,000 (estimated)","$416,064,056",7.1
292,Sorry to Bother You,"$3,200,000 (estimated)","$18,170,707",6.9
293,Youth Without Youth,"$5,000,000 (estimated)","$2,624,759",6.1
294,You Only Live Once,"$575,000 (estimated)",,7.2
295,God of War: Ragnarök (Video Gam,,,9.6
296,American Ninja,"$1,000,000 (estimated)","$10,499,694",5.4
297,Nanking,,"$1,566,248",7.7
298,Cockneys vs Zombies,,"$107,348",5.9
299,Bandidas,"€32,000,000 (estimated)","$18,381,890",5.7
300,Welcome to the Sticks,"€11,000,000 (estimated)","$245,144,417",7.1
301,Dope,"$7,000,000 (estimated)","$17,986,781",7.2
302,The Good Time Girls,,,7.2
303,RoboCop,"$13,000,000 (estimated)","$53,427,575",7.6
304,The Lion King,"$45,000,000 (estimated)","$968,750,694",8.5
305,The Food of the Gods,,,4.6
306,My Bloody Valentine,"$15,000,000 (estimated)","$100,734,718",5.4
307,The Gracefield Incident,,"$102,256",4.2
308,Gantz: O,,"$2,359,127",7.1
309,The Listener,,,6.0
310,The Island of Dr. Moreau,"$40,000,000 (estimated)","$49,627,779",4.6
311,My Super Ex-Girlfriend,"$30,000,000 (estimated)","$61,108,981",5.2
312,Smokey and the Bandit,"$4,300,000 (estimated)","$126,750,339",7.0
313,The Band Wagon,"$2,169,120 (estimated)","$14,889",7.4
314,That Most Important Thing: Love,,"$19,120",7.0
315,People That Are Not Me,,"$6,507",6.3
316,Alice in Wonderland,"$200,000,000 (estimated)","$1,025,468,216",6.4
317,The Medusa Touch,,,6.9
318,Hobson's Choice,,,7.7
319,The Other End of the Line,"$14,000,000 (estimated)","$507,534",6.1
320,Billionaire Ransom,"$11,200,000 (estimated)","$33,289",5.5
321,The Amazing Dr. Clitterhouse,,,7.0
322,The Tree of Life,"$32,000,000 (estimated)","$58,409,247",6.8
323,28 Hotel Rooms,,"$131,208",5.7
324,Journey to the Far Side of the Sun,,,6.3
325,I Spit on Your Grave: Vengeance Is Mine,,"$144,661",5.1
326,Matru Ki Bijlee Ka Mandola,,"$6,009,116",5.6
327,Merry Christmas Mr. Lawrence,,"$2,307,000",7.2
328,The Missing Person,,"$17,896",6.0
329,Rocky III,"$17,000,000 (estimated)","$125,052,898",6.8
330,The Cold Light of Day,"$20,000,000 (estimated)","$16,863,583",4.9
331,No End,,,7.4
332,Take Me Home,,"$39,021",6.8
333,Rabbit Without Ears,"€4,500,000 (estimated)","$81,744,033",6.5
334,They Died with Their Boots On,"$2,200,000 (estimated)",,7.2
335,Mission Kashmir,,,6.6
336,Bloodworth,,"$12,971",6.0
337,Transporter 3,"$30,000,000 (estimated)","$108,979,549",6.1
338,Men of Honor,"$32,000,000 (estimated)","$82,343,495",7.2
339,You Again,"$20,000,000 (estimated)","$32,054,369",5.7
340,The Black Stallion,"$2,700,000 (estimated)","$37,799,643",7.4
341,The Phantom of the Opera,"$70,000,000 (estimated)","$154,674,241",7.2
342,Smother (TV Series 202,,,6.6
343,Drop Dead Gorgeous,"$15,000,000 (estimated)","$10,571,408",6.7
344,On the Road,"$25,000,000 (estimated)","$9,617,377",6.0
345,Parental Guidance,"$25,000,000 (estimated)","$119,772,232",6.0
346,The Arrangement (TV Series 201,,,6.5
347,Rachel Getting Married,,"$16,937,968",6.7
348,You May Not Kiss the Bride,,,5.4
349,Waqt Hamara Hai,,,5.9
350,"Distant Voices, Still Lives",,"$771,745",7.4
351,The Thief of Paris,,,6.9
352,The Duke of Burgundy,"$1,000,000 (estimated)","$185,147",6.5
353,Diamant 13,"€6,850,000 (estimated)","$878,153",5.1
354,Highlander II: The Quickening,"$30,000,000 (estimated)","$15,556,340",4.2
355,Ankhon Dekhi,,"$151,226",7.9
356,Sleeping with Other People,,"$3,224,947",6.5
357,Dark Feed,,,3.3
358,That's Life,,,7.0
359,Passchendaele,"CA$20,000,000 (estimated)",,6.4
360,Dark Matter (TV Series ,,,
361,The Atomic Submarine,"$135,000 (estimated)",,5.1
362,Becket,"$3,000,000 (estimated)","$149,327",7.8
363,Alabama Moon,,"$47,305",6.4
364,What Ever Happened to Aunt Alice?,,,6.8
365,Child's Play 3,"$13,000,000 (estimated)","$20,560,255",5.2
366,One Deadly Summer,,,7.2
367,Goldfish Memory,,"$43,382",6.4
368,Strigoi,,,5.4
369,Whitney: Can I Be Me,,"$341,402",6.8
370,Sad Movie,,"$7,034,164",7.2
371,Mutant Chronicles,"$25,000,000 (estimated)","$2,131,057",5.2
372,5 Flights Up,"$6,000,000 (estimated)","$3,679,847",6.2
373,The Dogs of War,,"$5,484,132",6.3
374,Ya Sonra,"$5,000,000 (estimated)","$4,686,857",5.2
375,Abraham Lincoln: Vampire Hunter,"$69,000,000 (estimated)","$116,471,580",5.9
376,Do the Right Thing,"$6,500,000 (estimated)","$37,295,445",8.0
377,Skidoo,,,4.7
378,The Drop,"$12,600,000 (estimated)","$18,658,381",7.0
379,Dark Crimes,"€3,800,000 (estimated)","$21,216",4.6
380,Herbie Fully Loaded,"$50,000,000 (estimated)","$144,146,816",4.9
381,Sometimes a Great Notion,"$3,660,000 (estimated)",,6.9
382,The Evil Within,"$6,000,000 (estimated)",,5.6
383,The Young Offenders (TV Series ,,,8.0
384,The Philadelphia Story,"$944,000 (estimated)","$411,663",7.9
385,Alias Jesse James,,,6.4
386,You Get Me,,,4.7
387,Woman in Gold,"$11,000,000 (estimated)","$61,619,773",7.3
388,Coraline,"$60,000,000 (estimated)","$131,788,071",7.7
389,The Horse Soldiers,,,7.1
390,The Boys (TV Series ,,,8.7
391,Young Doctors in Love,"$7,500,000 (estimated)","$30,688,860",5.5
392,London Town,,"$1,126",6.4
393,Miss Julie,,"$527,094",5.5
394,The Conspirator,"$25,000,000 (estimated)","$15,625,544",6.9
395,Please Don't Destroy: The Treasure of Foggy Mountain,,"$14,582",6.1
396,Ryan's Daughter,"$15,000,000 (estimated)","$8,768",7.4
397,Larger Than Life,"$30,000,000 (estimated)","$8,315,693",5.6
398,Jack Reacher,"$60,000,000 (estimated)","$218,340,595",7.0
399,Small Soldiers,"$40,000,000 (estimated)","$54,682,547",6.3
400,Outbreak,"$50,000,000 (estimated)","$189,859,560",6.6
401,Viruddh... Family Comes First,,"$2,048,588",7.0
402,The War Lover,,,6.5
403,The Portrait of a Lady,,"$3,692,836",6.2
404,The Finest Hours,"$80,000,000 (estimated)","$52,099,090",6.7
405,Vettaiyaadu Vilaiyaadu,"₹240,000,000 (estimated)","$7,888",7.9
406,Panjaa,,,6.5
407,Jumanji,"$65,000,000 (estimated)","$262,821,940",7.1
408,Atonement,"$30,000,000 (estimated)","$129,266,061",7.8
409,The Suicide Squad,"$185,000,000 (estimated)","$168,717,425",7.2
410,Confetti,,"$4,903,131",5.7
411,The Punisher (TV Series 201,,,8.4
412,The Stepford Wives,"$90,000,000 (estimated)","$103,370,281",5.3
413,Rock the Kasbah,"$15,000,000 (estimated)","$3,394,174",5.5
414,Coolie,,,
415,The Dark Tower,"$60,000,000 (estimated)","$113,231,078",5.6
416,Elevator to the Gallows,,"$431,784",7.9
417,The Firm,"$42,000,000 (estimated)","$270,248,367",6.9
418,Life with Mikey,,"$12,440,858",5.7
419,How I Won the War,,,5.5
420,The Green Butchers,,"$3,783",7.2
421,Southbound,,"$35,275",5.9
422,Instructions Not Included,"$5,000,000 (estimated)","$100,502,638",7.5
423,Encounter of the Spooky Kind,,,7.0
424,Mean Creek,"$500,000 (estimated)","$802,948",7.1
425,The Gold Rush,"$923,000 (estimated)","$31,490",8.1
426,Take Care of Maya,,,7.8
427,Zipper,"$4,500,000 (estimated)",,5.8
428,"New York, I Love You","$14,700,000 (estimated)","$9,961,023",6.2
429,Roommate Regret,,,5.5
430,Nobody's Fool,"$20,000,000 (estimated)","$39,491,975",7.3
431,Waking Up in Reno,,"$374,312",5.5
432,Elisa & Marcela,,,6.6
433,The Look of Silence,,"$157,857",8.3
434,"A Woman, a Gun and a Noodle Shop",,"$428,430",5.7
435,Pan's Labyrinth,"$19,000,000 (estimated)","$83,863,565",8.2
436,The Bay (TV Series ,,,7.2
437,Romeo + Juliet,"$14,500,000 (estimated)","$147,554,998",6.7
438,"Salò, or the 120 Days of Sodom",,"$1,808,595",5.8
439,The Descent,"£3,500,000 (estimated)","$57,130,027",7.2
440,Rise of the Guardians,"$145,000,000 (estimated)","$306,941,670",7.2
441,13 Reasons Why (TV Series 201,,,7.5
442,A Single Shot,,"$18,642",5.7
443,Best of the Best 3: No Turning Back,,,4.8
444,Fertile Ground,"$388,250 (estimated)",,4.5
445,Goldstone,,"$650,352",6.6
446,My Architect,,"$2,932,237",7.4
447,"Why the Hell are You Here, Teacher!? (TV Mini Serie",,,6.4
448,Yaadein...,"₹160,000,000 (estimated)","$1,093,819",4.2
449,Mighty Joe Young,"$90,000,000 (estimated)","$50,632,037",5.7
450,I Origins,"$1,000,000 (estimated)","$481,234",7.3
451,Uro,"NOK 13,720,000 (estimated)","$2,040,577",5.8
452,Borat,"$18,000,000 (estimated)","$262,552,893",7.4
453,A Little Bit of Heaven,,"$6,778,388",6.2
454,American Gangster,"$100,000,000 (estimated)","$269,755,430",7.8
455,Intruders,"€10,000,000 (estimated)","$5,486,559",5.4
456,The Fifth Commandment,,"$495,989",4.5
457,Warcraft,"$160,000,000 (estimated)","$439,048,914",6.7
458,Princesses,,"$8,446,185",6.9
459,The Merchant of Venice,"$30,000,000 (estimated)","$21,560,182",7.0
460,Buried,"$3,000,000 (estimated)","$19,439,764",7.0
461,Bratz,"$20,000,000 (estimated)","$26,013,153",3.1
462,Tidelands (TV Serie,,,6.8
463,Child 44,"$50,000,000 (estimated)","$12,951,093",6.4
464,The Kite Runner,"$20,000,000 (estimated)","$75,011,029",7.6
465,Tom Thumb,,,6.4
466,Beat the Devil,"$1,000,000 (estimated)",,6.4
467,Surviving Christmas,"$45,000,000 (estimated)","$15,125,687",5.5
468,Tees Maar Khan,"$4,200,000 (estimated)","$13,681,934",2.7
469,You Stupid Man,,,5.7
470,Darkman,"$14,000,000 (estimated)","$48,878,502",6.4
471,Margin Call,"$3,500,000 (estimated)","$19,504,039",7.1
472,Deathtrap,"$10,000,000 (estimated)","$19,282,134",7.0
473,After Hours,"$4,500,000 (estimated)","$10,626,785",7.6
474,Wonder Boys,"$55,000,000 (estimated)","$33,426,588",7.2
475,Bajrangi Bhaijaan,,"$121,126,188",8.1
476,Grey Owl,"$30,000,000 (estimated)","$632,617",6.0
477,The Reptile,"£100,599 (estimated)",,6.1
478,Cyrano de Bergerac,"$400,000 (estimated)",,7.4
479,Shahenshah,,,6.3
480,Romeo and Juliet,"$850,000 (estimated)","$6,292",7.6
481,The Amazing Digital Circus (TV Series ,,,8.1
482,The Girl Next Door,"$25,000,000 (estimated)","$30,381,722",6.7
483,Yankee Zulu,,,6.4
484,Valentino,"$5,000,000 (estimated)",,6.1
485,Kill Bill: Vol. 2,"$30,000,000 (estimated)","$154,118,514",8.0
486,Quantum of Solace,"$200,000,000 (estimated)","$589,593,688",6.5
487,The Chant of Jimmie Blacksmith,"A$1,280,000 (estimated)",,7.3
488,Long Day's Journey Int,,,
